timestamp,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260329_102629,flan-t5-large,cola,paraphrase,0,20,500,105,0.6200,politeness,0.3105,0.6840
20260329_112331,flan-t5-large,cola,paraphrase,0,20,500,2266,0.6400,control,0.3170,0.6200
20260329_112331,flan-t5-large,cola,paraphrase,0,20,500,2266,0.6400,metacognition,0.3161,0.6640
20260329_112331,flan-t5-large,cola,paraphrase,0,20,500,2266,0.6400,structure,0.1926,0.7000
20260329_112331,flan-t5-large,cola,paraphrase,0,20,500,2266,0.6400,politeness,0.3079,0.6820
20260329_121325,flan-t5-large,cola,paraphrase,0,20,500,86379,0.6400,control,0.3220,0.6580
20260329_121325,flan-t5-large,cola,paraphrase,0,20,500,86379,0.6400,metacognition,0.3180,0.6940
20260329_121325,flan-t5-large,cola,paraphrase,0,20,500,86379,0.6400,structure,0.1897,0.7260
20260329_121325,flan-t5-large,cola,paraphrase,0,20,500,86379,0.6400,politeness,0.3108,0.7320
20260329_135635,pythia-410m,cola,paraphrase,0,20,500,105,0.7222,control,0.0169,0.5920
20260329_135635,pythia-410m,cola,paraphrase,0,20,500,105,0.7222,metacognition,0.0895,0.0660
20260329_135635,pythia-410m,cola,paraphrase,0,20,500,105,0.7222,structure,0.0000,0.6100
20260329_135635,pythia-410m,cola,paraphrase,0,20,500,105,0.7222,politeness,0.0146,0.5800
20260329_142432,pythia-410m,cola,paraphrase,0,20,500,2266,0.6809,control,0.0153,0.6120
20260329_142432,pythia-410m,cola,paraphrase,0,20,500,2266,0.6809,metacognition,0.0905,0.0900
20260329_142432,pythia-410m,cola,paraphrase,0,20,500,2266,0.6809,structure,0.0000,0.6180
20260329_142432,pythia-410m,cola,paraphrase,0,20,500,2266,0.6809,politeness,0.0166,0.5840
20260329_152240,llama-3.2-1b,cola,paraphrase,0,20,500,2266,0.7100,control,0.0009,0.6720
20260329_152240,llama-3.2-1b,cola,paraphrase,0,20,500,2266,0.7100,metacognition,0.0000,0.4840
20260329_152240,llama-3.2-1b,cola,paraphrase,0,20,500,2266,0.7100,structure,0.0000,0.0000
20260329_152240,llama-3.2-1b,cola,paraphrase,0,20,500,2266,0.7100,politeness,0.0006,0.6720
20260329_162424,pythia-410m,cola,paraphrase,0,20,500,86379,0.6196,control,0.0158,0.6400
20260329_162424,pythia-410m,cola,paraphrase,0,20,500,86379,0.6196,metacognition,0.0929,0.0640
20260329_162424,pythia-410m,cola,paraphrase,0,20,500,86379,0.6196,structure,0.0000,0.6420
20260329_162424,pythia-410m,cola,paraphrase,0,20,500,86379,0.6196,politeness,0.0175,0.6020
